time,novel_id,novel_name,allpopu_wan,read_total
2025-12-20 08:58:26,1909401,我非你杯茶,232.9,7733
2025-12-20 10:15:12,1909401,我非你杯茶,233.6,7733
2025-12-20 11:00:12,1909401,我非你杯茶,234.07,7733
2025-12-20 11:34:00,1909401,我非你杯茶,234.31,7733
2025-12-20 12:01:36,1909401,我非你杯茶,234.5,7733
2025-12-20 12:39:14,1909401,我非你杯茶,234.83,7733
2025-12-20 12:55:40,1909401,我非你杯茶,234.88,7733
2025-12-20 13:21:08,1909401,我非你杯茶,235.09,7733
2025-12-20 13:41:12,1909401,我非你杯茶,235.18,7733
2025-12-20 13:54:30,1909401,我非你杯茶,235.17,7733
